time,event,signal_name1,value
2024-04-11T19:22:44,Signal,FIB_EMA_CROSS,
2024-04-11T21:15:39,Signal,FIB_EMA_CROSS,
2024-04-12T01:47:47,Signal,FIB_EMA_CROSS,
2024-04-12T08:01:10,Signal,FIB_EMA_CROSS,
2024-04-12T10:42:21,Signal,FIB_EMA_CROSS,
2024-04-12T12:36:06,Signal,FIB_EMA_CROSS,
2024-04-12T15:21:12,Signal,FIB_EMA_CROSS,
2024-04-12T15:57:32,Signal,FIB_EMA_CROSS,
2024-04-12T16:00:00,Signal,FIB_EMA_CROSS,
2024-04-12T16:02:14,Signal,FIB_EMA_CROSS,
2024-04-12T16:06:50,Signal,FIB_EMA_CROSS,
2024-04-12T16:12:10,Signal,FIB_EMA_CROSS,
2024-04-12T16:15:30,Signal,FIB_EMA_CROSS,
2024-04-12T16:34:09,Signal,FIB_EMA_CROSS,
2024-04-12T16:48:06,Signal,FIB_EMA_CROSS,
2024-04-12T18:26:33,Signal,FIB_EMA_CROSS,
2024-04-12T19:02:04,Signal,FIB_EMA_CROSS,
2024-04-12T19:09:23,Signal,FIB_EMA_CROSS,
2024-04-12T20:24:06,Signal,FIB_EMA_CROSS,
2024-04-12T20:37:38,Signal,FIB_EMA_CROSS,
2024-04-12T20:45:50,Signal,FIB_EMA_CROSS,
2024-04-12T20:58:10,Signal,FIB_EMA_CROSS,
2024-04-12T21:28:27,Signal,FIB_EMA_CROSS,
2024-04-12T22:51:11,Signal,FIB_EMA_CROSS,
2024-04-15T00:01:03,Signal,FIB_EMA_CROSS,
2024-04-15T02:15:49,Signal,FIB_EMA_CROSS,
2024-04-15T09:22:51,Signal,FIB_EMA_CROSS,
2024-04-15T09:44:39,Signal,FIB_EMA_CROSS,
2024-04-15T12:25:24,Signal,FIB_EMA_CROSS,
2024-04-15T14:30:01,Signal,FIB_EMA_CROSS,
2024-04-15T14:38:01,Signal,FIB_EMA_CROSS,
2024-04-15T14:44:21,Signal,FIB_EMA_CROSS,
2024-04-15T16:03:57,Signal,FIB_EMA_CROSS,
2024-04-15T16:33:47,Signal,FIB_EMA_CROSS,
2024-04-15T16:37:43,Signal,FIB_EMA_CROSS,
